Kod stacji,KpBydWarszaw,MpKrakBulwar,MpKrakowWIOSPrad6115,PkJasloWIOSFabr,PkPrzemyslWIOSMick,Pm.a09a,WpPoznPolank,ZpSzczPils02
2008-01-01 01:00:00,139.6,95,89,82.76,79.71,37.5,34.4,36
2008-01-01 02:00:00,77.3,91,71,83.71,124.99,71.8,45.7,51
2008-01-01 03:00:00,28,80,66,90.88,77.35,79.6,45.2,86
2008-01-01 04:00:00,16,69,52,90.09,75.22,51.9,42.7,87
2008-01-01 05:00:00,20,64,58,90.96,76.39,25.3,40.3,62
2008-01-01 06:00:00,17.3,60,74,91.76,131.06,24.8,28.2,33
2008-01-01 07:00:00,14.4,61,78,88.31,124.75,21.7,27.9,18
2008-01-01 08:00:00,20.1,60,81,101.73,95.32,30.5,26.1,10
2008-01-01 09:00:00,20.5,73,52,126.14,94.66,28,27.4,7
2008-01-01 10:00:00,25.6,57,26,121.52,81.74,28.1,33.5,5
2008-01-01 11:00:00,40.3,34,27,115.34,78.99,26.2,33.4,6
2008-01-01 12:00:00,41.4,24,28,99.29,79.01,21.8,33,9
2008-01-01 13:00:00,55.5,34,23,86.39,69.69,19.4,34.1,9
2008-01-01 14:00:00,45.7,30,26,97.39,98.81,18.8,39.3,10
2008-01-01 15:00:00,64.8,39,26,97.39,94.9,17.1,40.2,15
2008-01-01 16:00:00,55.6,47,44,97.5,79.32,16.4,44.7,21
2008-01-01 17:00:00,49.7,64,61,75.83,57.54,26.2,44.5,18
2008-01-01 18:00:00,36.6,51,42,50.64,58.06,33.8,43.4,14
2008-01-01 19:00:00,32.8,52,53,70.64,76.99,31.6,44.1,18
2008-01-01 20:00:00,36.9,60,51,71.42,30.94,45.5,47.4,19
2008-01-01 21:00:00,39.3,58,45,53.33,25.9,41.7,46.1,19
2008-01-01 22:00:00,52.3,52,47,43.12,24.92,32,38.9,20
2008-01-01 23:00:00,50.3,47,43,42.84,24.98,30,41.5,16
2008-01-02 00:00:00,42.5,39,41,36.34,23.38,28.3,54.7,17
2008-01-02 01:00:00,39.8,41,31,23.65,24.79,26.9,55,19
2008-01-02 02:00:00,34.2,37,23,22.57,35.07,23.5,56.3,21
2008-01-02 03:00:00,22.5,33,18,21.92,32.21,13.3,55.7,19
2008-01-02 04:00:00,10.9,41,16,20.58,30.33,13.5,52.6,19
2008-01-02 05:00:00,7.6,40,18,17.44,27.43,16.3,54.6,20
2008-01-02 06:00:00,8.5,30,17,18.06,29.94,14,64.4,19
2008-01-02 07:00:00,8.5,31,17,23.64,29.16,13.2,62.4,21
2008-01-02 08:00:00,8.8,43,19,27.21,38.02,20,52.5,29
2008-01-02 09:00:00,19.7,32,22,27.4,43.03,23.5,50.6,35
2008-01-02 10:00:00,30.7,28,21,24,49.81,19.2,41,31
2008-01-02 11:00:00,28,26,22,36.11,50.54,13.4,41.6,31
2008-01-02 12:00:00,18.7,28,23,24.73,43.23,12.5,44.5,42
2008-01-02 13:00:00,22.7,31,24,26,41.49,9.6,41.6,39
2008-01-02 14:00:00,18.2,33,23,26.3,40.78,7.7,27.5,33
2008-01-02 15:00:00,20.8,33,20,26.55,61.65,5.8,29.6,25
2008-01-02 16:00:00,23.6,38,21,27.51,54.24,3.6,40,21
2008-01-02 17:00:00,32.6,34,23,31.16,71.11,7.7,40.1,32
2008-01-02 18:00:00,38.8,25,25,33.78,60.22,6.8,40.9,33
2008-01-02 19:00:00,20.1,40,30,39.64,49.3,8.6,39.6,26
2008-01-02 20:00:00,26.7,52,39,34.47,53.65,7.2,33.1,28
2008-01-02 21:00:00,23.2,57,42,30.9,49.78,6.7,33.1,28
2008-01-02 22:00:00,21,43,32,29.23,54.99,9.7,33.5,30
2008-01-02 23:00:00,16.7,53,31,30.8,52.76,8.4,33.1,28
2008-01-03 00:00:00,18.4,60,29,33.32,53.9,8.4,31.2,17
2008-01-03 01:00:00,16.2,50,28,30.81,48.41,5.7,31.6,18
2008-01-03 02:00:00,14.8,42,28,29.99,47.71,8.3,33.3,21
2008-01-03 03:00:00,13.5,43,28,34.13,38.44,10.9,33.5,16
2008-01-03 04:00:00,10.2,51,29,37.2,48.03,13,34.5,24
2008-01-03 05:00:00,9.2,75,27,45.58,41.99,8.8,33.6,27
2008-01-03 06:00:00,10.7,56,29,53.72,34.52,11,28.7,22
2008-01-03 07:00:00,13,62,29,57.61,39.43,8.7,30.2,28
2008-01-03 08:00:00,15.4,64,31,55.73,34.1,10.2,37.6,38
2008-01-03 09:00:00,26.2,58,39,55.59,36.25,11.8,39.3,37
2008-01-03 10:00:00,33.9,47,39,64.72,37.48,10,48,36
2008-01-03 11:00:00,32.3,57,40,52.52,38.33,10.4,47.5,42
2008-01-03 12:00:00,30.5,61,39,45.99,46.08,8.1,44.8,39
2008-01-03 13:00:00,31.5,58,42,48.89,44.11,16.3,45.7,36
2008-01-03 14:00:00,33.5,42,37,40.8,45.87,14.7,49.7,33
2008-01-03 15:00:00,34.6,47,33,36.53,53.63,20,48.9,38
2008-01-03 16:00:00,33.4,45,35,40.11,60.81,19.5,44.6,42
2008-01-03 17:00:00,32.5,54,36,41.19,58.45,18,45.1,39
2008-01-03 18:00:00,33.1,54,39,43.04,58.64,18.9,47.7,38
2008-01-03 19:00:00,32.2,64,42,45.13,52.97,14.9,48.2,42
2008-01-03 20:00:00,28.3,71,42,47.38,52.8,11.8,50.6,43
2008-01-03 21:00:00,20.9,82,42,48.7,47.83,11.3,51.3,38
2008-01-03 22:00:00,20.2,70,38,45.99,41.58,15.5,55,39
2008-01-03 23:00:00,18.9,65,34,47.32,39.16,11.2,54.4,40
2008-01-04 00:00:00,16.3,64,31,51.59,35.32,10.6,51.3,40
2008-01-04 01:00:00,12.4,69,27,48.86,35.79,7.1,51.3,43
2008-01-04 02:00:00,9.3,65,25,38.19,30.32,9.2,51.1,42
2008-01-04 03:00:00,5.8,60,24,38.1,29.12,13.2,48.9,38
2008-01-04 04:00:00,6.1,69,22,35.95,24.31,14.4,37.9,41
2008-01-04 05:00:00,5.9,69,21,32.78,31.12,10.3,36.6,37
2008-01-04 06:00:00,6.2,62,20,30.64,32.38,11.7,30.1,29
2008-01-04 07:00:00,9.6,40,20,31.6,32.13,14.2,29,26
2008-01-04 08:00:00,12.4,53,23,34.71,35.31,13.7,23.3,29
2008-01-04 09:00:00,13.9,62,27,40.4,36.08,16.2,24.1,27
2008-01-04 10:00:00,24.8,52,29,44.46,36.84,15.9,28.1,24
2008-01-04 11:00:00,27.7,54,30,41.69,50.73,12.5,28.1,32
2008-01-04 12:00:00,29.5,47,33,44.5,46.72,13.8,28.2,31
2008-01-04 13:00:00,30.9,50,33,43.13,42.03,13,28.2,24
2008-01-04 14:00:00,28.4,47,33,47.48,38.1,19.4,28.3,25
2008-01-04 15:00:00,26.1,50,35,49.83,40.5,13.8,28.2,28
2008-01-04 16:00:00,28.2,51,37,65.77,52.25,20.1,27.4,31
2008-01-04 17:00:00,28,50,39,75.66,54.82,20.5,28.5,25
2008-01-04 18:00:00,31.2,52,39,56.6,49.79,18.3,34.2,25
2008-01-04 19:00:00,29.1,56,40,56.57,49.12,21.2,35.4,31
2008-01-04 20:00:00,28.5,48,42,57.82,51.4,22.9,41.9,26
2008-01-04 21:00:00,27.4,44,44,58.4,51.71,25.8,40.4,31
2008-01-04 22:00:00,23.3,43,44,62.8,47.33,28.7,32.2,38
2008-01-04 23:00:00,17.9,42,46,62.7,53.19,26.8,32.5,31
2008-01-05 00:00:00,18.1,43,44,57.64,48.3,29.1,33.9,33
2008-01-05 01:00:00,15.8,41,41,53.74,50.91,28.6,33.5,37
2008-01-05 02:00:00,13.6,50,39,49.84,52.13,32.6,31.2,40
2008-01-05 03:00:00,13.5,63,36,36.37,46.38,24.4,32,42
2008-01-05 04:00:00,13.6,50,32,19.41,49.28,26.6,35.7,36
2008-01-05 05:00:00,13.6,54,30,16.03,54.53,23,35,33
2008-01-05 06:00:00,12.7,37,30,16.88,59.81,18.6,31,38
2008-01-05 07:00:00,14.8,47,29,20.26,52.17,16.7,32.4,44
2008-01-05 08:00:00,15.8,74,33,22.49,48.28,20.9,39.4,46
2008-01-05 09:00:00,21.3,84,39,25.77,57.17,24.3,39.1,46
2008-01-05 10:00:00,43.2,59,59,26.72,59.3,26,37.3,44
2008-01-05 11:00:00,59,65,61,28.23,65.17,22.6,37,42
2008-01-05 12:00:00,45.9,66,59,29.75,72.3,29.1,35.2,41
2008-01-05 13:00:00,43.8,82,65,22.75,79.21,25.7,36.3,44
2008-01-05 14:00:00,47.8,74,86,22.01,94.75,22.3,41.5,42
2008-01-05 15:00:00,48.2,93,97,19.59,82.51,27.9,41.4,42
2008-01-05 16:00:00,51,70,107,19.39,94.64,29.3,40.9,47
2008-01-05 17:00:00,50.9,76,83,21.02,102.38,29.3,40.4,58
2008-01-05 18:00:00,49,96,67,23.7,134.2,34.6,38,59
2008-01-05 19:00:00,52.8,78,74,23.82,130.54,30.3,40.6,50
2008-01-05 20:00:00,45,61,55,26.96,107.28,28.5,53.9,51
2008-01-05 21:00:00,37.5,47,53,22.63,79.88,28.2,56.4,51
2008-01-05 22:00:00,40.4,22,41,19.03,82.33,30.4,68.6,47
2008-01-05 23:00:00,34.6,19,40,20.96,81.35,24.2,67.3,43
2008-01-06 00:00:00,34.6,17,33,18.53,69.92,22.7,61,51
2008-01-06 01:00:00,31.3,13,27,21.5,64.38,22.9,60,45
2008-01-06 02:00:00,32.2,11,19,18.92,62.73,32.3,54.7,38
2008-01-06 03:00:00,32.9,11,15,14.57,63.3,35.5,53.2,42
2008-01-06 04:00:00,31.4,9,11,13.53,63.67,31.9,45.5,39
2008-01-06 05:00:00,32.3,9,10,15.6,65.2,32.4,45,42
2008-01-06 06:00:00,26.4,7,9,11.11,69.39,32.1,42.2,46
2008-01-06 07:00:00,33.7,9,10,10.6,71.19,28.6,41.8,46
2008-01-06 08:00:00,32.6,10,10,12.28,68.83,27.3,39.5,49
2008-01-06 09:00:00,37.6,14,12,15.84,70.78,27.7,39,37
2008-01-06 10:00:00,64.8,16,16,15.47,77.73,29.9,35.9,36
2008-01-06 11:00:00,91.1,22,20,15.04,82.23,27.3,37.1,40
2008-01-06 12:00:00,103.7,38,26,16.14,97.65,33.3,43.8,47
2008-01-06 13:00:00,96.4,33,33,16.25,99.34,32.4,45.4,60
2008-01-06 14:00:00,79.4,30,57,11.57,84.94,29.5,53.8,64
2008-01-06 15:00:00,73.3,,75,8.92,94.45,33.3,53.5,58
2008-01-06 16:00:00,73.5,,73,8.67,94.49,32.3,51.4,60
2008-01-06 17:00:00,56.9,,103,9.15,103.27,29.4,54.3,
2008-01-06 18:00:00,67.4,,91,10.58,115.5,28.9,69.4,
2008-01-06 19:00:00,63.8,,88,40.2,115.89,30.3,68.7,
2008-01-06 20:00:00,65.7,,74,14.58,125.72,30.7,64.5,
2008-01-06 21:00:00,42.9,,29,8.26,130.25,31.4,63.3,
2008-01-06 22:00:00,43.2,,27,10.8,96.54,37.1,56.5,57
2008-01-06 23:00:00,63.1,,27,13.41,85.53,36.3,55.4,50
2008-01-07 00:00:00,60.3,,28,21.87,79.67,41.3,49.6,42
2008-01-07 01:00:00,59,,28,14.22,76.86,46.7,47.1,42
2008-01-07 02:00:00,49.4,,27,12.02,85.32,58.2,33.7,44
2008-01-07 03:00:00,43.9,,25,14.84,84.42,48.1,34,34
2008-01-07 04:00:00,38.9,,24,13.87,109.56,43,35.6,24
2008-01-07 05:00:00,24.8,,21,18.54,109.51,41.7,34.4,26
2008-01-07 06:00:00,21,,21,23.32,102.58,43.6,28.3,28
2008-01-07 07:00:00,26,,21,15.86,116.77,40.8,27.1,28
2008-01-07 08:00:00,26.5,,24,28.15,155.17,40.1,21,24
2008-01-07 09:00:00,37.3,,28,44.02,101.16,34.3,22.2,15
2008-01-07 10:00:00,69.3,,32,42.74,77.39,34.3,28,12
2008-01-07 11:00:00,56.9,,42,31.73,95.49,40.2,26.7,17
2008-01-07 12:00:00,40.8,,50,37.97,106.06,38.9,19.7,
2008-01-07 13:00:00,35.2,,35,27.64,80.02,73.3,20.2,
2008-01-07 14:00:00,38.7,,24,26.4,64.33,51.5,22.4,24
2008-01-07 15:00:00,25.7,,28,20.08,77.99,17.7,23.4,25
2008-01-07 16:00:00,34.1,56,32,22.46,91.76,17.6,28.3,26
2008-01-07 17:00:00,46.7,58,53,22.57,138.88,25.5,29.1,22
2008-01-07 18:00:00,49.5,70,89,23.31,222.48,41.3,32.8,27
2008-01-07 19:00:00,30.6,95,98,22.22,233.65,34,32.3,36
2008-01-07 20:00:00,29.1,108,120,21.2,250.11,28.7,29.8,32
2008-01-07 21:00:00,32.5,99,116,20.3,259.98,22.8,31.7,28
2008-01-07 22:00:00,29.5,99,77,20.27,285.77,23.7,41.4,25
2008-01-07 23:00:00,25.6,67,59,19.01,214.15,24.4,39.9,31
2008-01-08 00:00:00,22.5,52,38,19.85,282.45,18.8,32.2,30
2008-01-08 01:00:00,13.6,29,29,13.54,350.61,14.6,31.9,22
2008-01-08 02:00:00,11.3,26,29,15.98,100.66,18.3,30.2,20
2008-01-08 03:00:00,9.4,25,25,19.46,24.19,20.5,28.9,17
2008-01-08 04:00:00,5.3,26,21,13.72,17.9,16.3,22.1,16
2008-01-08 05:00:00,2.6,20,18,13.31,13.6,15.5,22.4,12
2008-01-08 06:00:00,,32,20,13.51,17.35,14,23.5,7
2008-01-08 07:00:00,5.9,38,23,17.9,22.16,7.7,21.8,6
2008-01-08 08:00:00,9.9,35,36,19.23,40.99,12.9,13.3,5
2008-01-08 09:00:00,16.1,21,22,20.49,75.86,8,12.9,8
2008-01-08 10:00:00,33.2,25,15,25.81,54.61,11.4,11,10
2008-01-08 11:00:00,27.6,24,19,24.35,58.06,7.3,12.2,8
2008-01-08 12:00:00,17.8,33,29,22.09,83.81,5.4,18,16
2008-01-08 13:00:00,25.1,30,26,27.42,64.72,7.9,18.9,27
2008-01-08 14:00:00,28.2,27,27,26.34,52.96,6.2,23.4,26
2008-01-08 15:00:00,24.5,30,30,41.1,77.72,12.6,24,21
2008-01-08 16:00:00,27.4,35,37,47.26,95.5,11.5,26.9,28
2008-01-08 17:00:00,23.7,52,48,35.91,107.9,9.8,27.9,32
2008-01-08 18:00:00,26.1,61,60,31.49,112.29,11.8,32.7,32
2008-01-08 19:00:00,24.2,63,88,34.87,103.81,18.7,32.9,33
2008-01-08 20:00:00,33.1,76,90,30.11,116.67,19,33.6,30
2008-01-08 21:00:00,18.1,78,102,33.37,82.09,20.3,32.9,42
2008-01-08 22:00:00,18.3,80,140,32.38,82.24,20.5,29.5,43
2008-01-08 23:00:00,17.4,89,183,29.87,79.59,18.4,30.3,28
2008-01-09 00:00:00,13.5,98,209,31.13,63.95,18.9,34.1,24
2008-01-09 01:00:00,13.4,93,210,24.21,49.04,21.5,33.1,24
2008-01-09 02:00:00,9.2,94,205,23.66,41.49,23.3,28.2,19
2008-01-09 03:00:00,10.5,108,164,22.22,33.52,19.9,29.6,19
2008-01-09 04:00:00,11.3,111,129,19.09,19.72,19.3,36.3,19
2008-01-09 05:00:00,8.8,108,108,17.48,24.39,17.1,35.9,19
2008-01-09 06:00:00,10.5,121,82,15.04,23.17,12.2,34.1,18
2008-01-09 07:00:00,21.8,128,67,15.58,21.34,15.3,34.9,14
2008-01-09 08:00:00,40.7,122,78,15.21,47.15,18.3,38.8,14
2008-01-09 09:00:00,53.4,120,102,14.28,129.49,22.8,39.3,11
2008-01-09 10:00:00,65.9,,,13.94,220.87,24.2,41.6,8
2008-01-09 11:00:00,47,,,13.11,141.09,22.2,42.6,15
2008-01-09 12:00:00,55.8,,,13.64,54.65,18.2,47.3,22
2008-01-09 13:00:00,56.3,,,15.03,48.34,25.6,47.9,29
2008-01-09 14:00:00,52.8,30,54,13.84,50.04,23.6,50.7,31
2008-01-09 15:00:00,56.2,19,52,15.05,57.55,28.4,49.5,26
2008-01-09 16:00:00,64.6,30,35,16.73,68.89,36.8,43.4,25
2008-01-09 17:00:00,74.9,48,47,17.11,122.61,42.7,42.7,20
2008-01-09 18:00:00,53.4,53,112,17.48,239.4,41.7,39.1,20
2008-01-09 19:00:00,45.2,59,127,18.81,248.09,33.4,39,19
2008-01-09 20:00:00,40.8,58,182,19.13,215.93,32,38.2,30
2008-01-09 21:00:00,32.4,71,190,22.33,135.6,28.5,38.5,35
2008-01-09 22:00:00,26.4,111,117,21.78,97.62,30.3,39.9,26
2008-01-09 23:00:00,25.6,115,88,19.97,122.37,29.3,40.6,32
2008-01-10 00:00:00,31.3,110,96,18.37,116.67,28.6,44.1,36
2008-01-10 01:00:00,29.3,105,109,19.27,105.72,23.5,43.5,31
2008-01-10 02:00:00,18.8,106,159,21.17,33.32,22.3,40.4,29
2008-01-10 03:00:00,19.4,108,115,22.05,23.71,13.3,40.7,23
2008-01-10 04:00:00,17.3,97,116,21.67,25.71,12.4,42.3,14
2008-01-10 05:00:00,16.1,87,77,23.29,21.78,13.2,42.2,18
2008-01-10 06:00:00,11.5,79,53,27.5,24.91,14.1,41.8,20
2008-01-10 07:00:00,11,76,45,28.01,31.05,12.3,41.8,13
2008-01-10 08:00:00,13.9,68,40,30.96,26.94,17.6,41.8,12
2008-01-10 09:00:00,16.6,69,47,34.41,43.38,13.8,40.8,16
2008-01-10 10:00:00,26.8,67,52,35.43,38.67,12.4,35.6,22
2008-01-10 11:00:00,30.8,66,54,32.94,61.19,14.9,36.3,24
2008-01-10 12:00:00,26.6,66,60,33.07,75.59,12.9,39.5,23
2008-01-10 13:00:00,26.2,70,61,33.1,61.87,15.1,41.9,23
2008-01-10 14:00:00,34.2,79,75,32.2,63.54,17.1,53.4,33
2008-01-10 15:00:00,33.9,80,88,36.29,89.27,17,52.1,33
2008-01-10 16:00:00,54,85,87,38.99,102.67,14.1,45.7,26
2008-01-10 17:00:00,56.5,98,106,38.03,142.87,17.6,44.1,29
2008-01-10 18:00:00,48.2,107,147,38.6,178.82,17.8,35.8,25
2008-01-10 19:00:00,39.6,163,200,40.02,115.06,18.5,37.4,29
2008-01-10 20:00:00,40.1,174,220,40.84,130.06,20.6,45.6,29
2008-01-10 21:00:00,35.2,224,202,41.02,117.55,23.9,43.8,25
2008-01-10 22:00:00,30.2,220,224,42.92,117.12,23.1,34.6,26
2008-01-10 23:00:00,32.3,222,225,46.09,152.23,22.9,35.2,19
2008-01-11 00:00:00,23.3,232,222,37.11,151.91,19,38.4,15
2008-01-11 01:00:00,19,236,218,37.53,139.41,21.1,37.6,12
2008-01-11 02:00:00,15.6,234,184,41.08,100.48,29.5,33.5,17
2008-01-11 03:00:00,14.7,220,242,41,39.43,23.4,34,19
2008-01-11 04:00:00,15.4,201,187,41.05,37.73,21.8,36.3,14
2008-01-11 05:00:00,10.9,201,182,50.9,40.26,19,35.2,10
2008-01-11 06:00:00,9.3,172,128,33.76,64.82,19.2,29.8,8
2008-01-11 07:00:00,13.2,129,113,31.67,94.65,15.4,28.7,9
2008-01-11 08:00:00,15.4,138,103,31.95,45.63,17.5,22.8,8
2008-01-11 09:00:00,22.1,137,126,37.74,35.4,17.4,22.8,7
2008-01-11 10:00:00,25.5,163,141,38.35,58.54,19,22.4,11
2008-01-11 11:00:00,39.2,171,156,39.8,39.51,17.1,23.2,12
2008-01-11 12:00:00,22.6,142,156,38.75,28.64,14,26.9,15
2008-01-11 13:00:00,17.4,157,107,33.16,31.02,15.1,26.5,22
2008-01-11 14:00:00,17.7,153,142,32.71,33.68,19,24.3,18
2008-01-11 15:00:00,22.8,132,125,32.22,49.95,18,22.8,14
2008-01-11 16:00:00,31.2,135,28,35.31,43.84,21.4,15.4,14
2008-01-11 17:00:00,36.4,143,20,36.6,47.01,20.8,15.7,17
2008-01-11 18:00:00,28.1,200,71,33.72,91.54,21.2,16.9,19
2008-01-11 19:00:00,30.4,110,114,30.24,94.25,23.9,18.6,14
2008-01-11 20:00:00,34.8,50,154,26.85,128.55,69.2,27.1,14
2008-01-11 21:00:00,33.4,31,184,28.84,195.85,119.3,28.8,14
2008-01-11 22:00:00,38.9,29,99,31.2,114.13,23.9,37.4,12
2008-01-11 23:00:00,32.3,28,62,34.15,98.26,22.6,36.9,14
2008-01-12 00:00:00,30.3,21,30,35.09,125.1,17.2,34.4,22
2008-01-12 01:00:00,24.7,19,30,31.7,84.04,17.8,36,
2008-01-12 02:00:00,21.1,17,22,28.42,70.45,20.6,43.6,
2008-01-12 03:00:00,19.7,15,15,26.09,65.43,22.6,41.9,
2008-01-12 04:00:00,35.2,13,13,25.96,46.95,21.2,33.2,
2008-01-12 05:00:00,31,12,13,28.65,63.6,18.7,32.7,
2008-01-12 06:00:00,32.2,14,13,29.43,69.64,24.7,30.3,
2008-01-12 07:00:00,26.3,13,18,29.79,81.73,21.2,30.2,
2008-01-12 08:00:00,41.1,14,24,28.29,104.47,21.1,29.7,
2008-01-12 09:00:00,68.1,18,32,25.51,126.64,21.5,31.3,
2008-01-12 10:00:00,79.8,24,31,25.41,97.38,22.3,39.2,
2008-01-12 11:00:00,100.3,22,33,25.93,50.76,21.7,39.1,
2008-01-12 12:00:00,91.9,10,13,25.58,32.81,24.1,38.3,
2008-01-12 13:00:00,97.1,9,8,27.57,33.81,25.3,40,
2008-01-12 14:00:00,54.4,9,9,26.78,35.84,26,48.5,
2008-01-12 15:00:00,55.5,10,10,27.26,36.28,28.6,50,
2008-01-12 16:00:00,69,12,11,30.63,48.15,34.2,57.7,
2008-01-12 17:00:00,69.5,39,16,31.98,83.55,32,60.4,
2008-01-12 18:00:00,61.9,78,25,31.44,116.82,35.6,73.5,
2008-01-12 19:00:00,54.7,108,54,36.72,130.25,34.4,74.7,
2008-01-12 20:00:00,56.2,125,179,35.67,151.21,36.1,80.7,
2008-01-12 21:00:00,51.2,134,226,44.43,196.43,33.7,78,
2008-01-12 22:00:00,48.2,150,205,33.39,173.59,30.5,64.5,
2008-01-12 23:00:00,30.4,169,201,34.53,208.62,23.1,61.5,
2008-01-13 00:00:00,23.8,175,167,33.4,141.66,18.5,46.2,
2008-01-13 01:00:00,16.4,173,137,31.77,75.25,17.6,46,
2008-01-13 02:00:00,11.6,164,73,32.15,125.35,12.8,44.8,
2008-01-13 03:00:00,8.3,74,34,31.25,58.87,12.8,43.2,
2008-01-13 04:00:00,6.1,53,32,35.39,62.41,11,34.9,
2008-01-13 05:00:00,3.4,50,35,37.19,55.19,3.5,33.2,
2008-01-13 06:00:00,3.9,41,35,39.66,56.14,7.4,24.8,
2008-01-13 07:00:00,3.8,43,34,47.55,69.1,7,24.1,
2008-01-13 08:00:00,5.7,40,37,40.65,78.97,6.6,20.5,
2008-01-13 09:00:00,7.7,42,43,45.6,81.65,9.4,21.3,
2008-01-13 10:00:00,25.5,47,53,51.71,100.74,9.4,25.1,
2008-01-13 11:00:00,14.1,53,75,98.07,117.8,11.3,26.3,
2008-01-13 12:00:00,14.4,69,69,96.34,141.38,10.8,32.3,
2008-01-13 13:00:00,28.7,73,84,93.89,109.15,9.2,32.3,
2008-01-13 14:00:00,26,87,62,97.68,116.96,12.5,32,
2008-01-13 15:00:00,20.4,45,47,99.06,143.25,12.9,31.8,
2008-01-13 16:00:00,27.1,57,45,97.71,154.24,20.8,30.9,
2008-01-13 17:00:00,46.6,58,57,100.49,218.36,23.7,31.5,
2008-01-13 18:00:00,66.3,64,70,100.92,169.71,24.3,34.6,
2008-01-13 19:00:00,61.4,89,74,117.13,200.05,24.6,36.6,
2008-01-13 20:00:00,63.2,132,83,142.59,193.05,28.2,46.9,
2008-01-13 21:00:00,70.2,135,87,90.68,174.31,28.2,52.3,
2008-01-13 22:00:00,59.2,120,86,80.43,160.12,23.7,80.5,
2008-01-13 23:00:00,63.7,155,103,109.65,150.66,18.9,81.7,
2008-01-14 00:00:00,77.4,129,133,95.81,158.24,15.8,88,
2008-01-14 01:00:00,76,92,128,98.05,148.24,18.4,86.9,
2008-01-14 02:00:00,59.4,91,112,94.73,125.58,26.7,80.8,
2008-01-14 03:00:00,47.7,88,101,88.15,132.85,26.7,79.7,
2008-01-14 04:00:00,43.5,83,93,76.58,127.7,20.6,74,
2008-01-14 05:00:00,45.3,78,99,66.93,127.68,20,72.5,
2008-01-14 06:00:00,47.9,80,91,59.78,140.33,28.7,64.7,
2008-01-14 07:00:00,49.9,77,105,56,131.98,34.5,64.2,
2008-01-14 08:00:00,50.3,78,89,55.09,122,39.8,61.4,
2008-01-14 09:00:00,72.1,75,75,60.49,104.87,32.9,63.1,
2008-01-14 10:00:00,101.4,78,67,71.63,104.98,27.9,71.5,
2008-01-14 11:00:00,42.2,84,59,61.45,105.64,30.4,71.7,
2008-01-14 12:00:00,133,93,73,53.99,105.08,30,72.5,
2008-01-14 13:00:00,140.7,107,93,13.99,105.26,41.9,71.4,
2008-01-14 14:00:00,122.3,101,101,14.76,99.16,51.2,65.6,
2008-01-14 15:00:00,104.7,104,90,18.49,106.86,46.1,63.1,
2008-01-14 16:00:00,111,99,86,25.24,97.32,54.6,50.4,
2008-01-14 17:00:00,105.9,97,89,32.21,103.13,57.4,50.7,
2008-01-14 18:00:00,100.1,136,104,37.11,106.61,59.9,52.1,
2008-01-14 19:00:00,100.6,136,110,33.22,111.57,55.6,57.9,
2008-01-14 20:00:00,102.4,117,93,38.16,109.64,49.3,86.7,
2008-01-14 21:00:00,95,124,80,42.82,97.18,44.2,89,
2008-01-14 22:00:00,99.9,142,80,43.07,80.43,47,100.8,
2008-01-14 23:00:00,93.8,101,100,38.33,72.25,44.4,97.3,
2008-01-15 00:00:00,86.6,71,125,37.72,69.91,53.6,79.7,
2008-01-15 01:00:00,77.5,49,107,35.78,70.83,52.1,77.5,
2008-01-15 02:00:00,68.7,57,124,39.53,73.2,58.5,65.3,
2008-01-15 03:00:00,62.5,81,122,38.84,81.26,58.1,63.2,
2008-01-15 04:00:00,56.6,101,134,38.96,82.3,55.4,52.6,
2008-01-15 05:00:00,50.4,104,141,37.41,82.5,48.3,52.6,
2008-01-15 06:00:00,52.3,107,144,37.62,90.25,45.5,52.3,
2008-01-15 07:00:00,44.3,112,135,40.05,87.22,45.2,51.3,
2008-01-15 08:00:00,46.8,119,125,37.51,101.69,35.3,46.3,
2008-01-15 09:00:00,63.6,129,127,37.44,76.03,33.8,45.7,
2008-01-15 10:00:00,64.2,144,147,48.24,83.88,34.4,42.3,
2008-01-15 11:00:00,57.2,147,160,48.59,75.74,33.1,40.5,
2008-01-15 12:00:00,53.9,147,159,44.4,69.39,25.7,31.4,
2008-01-15 13:00:00,46.5,123,153,39.38,81.12,25,30.7,
2008-01-15 14:00:00,45.1,105,151,36.47,46.64,24.7,26.9,
2008-01-15 15:00:00,39.9,143,144,34.84,51.57,23.5,25.5,38
2008-01-15 16:00:00,45.8,142,145,32.65,63.46,23.2,18.5,25
2008-01-15 17:00:00,49.3,143,169,32.3,85.58,27.5,19.9,27
2008-01-15 18:00:00,49.8,177,251,33.06,67.47,32.3,27.3,19
2008-01-15 19:00:00,53.6,199,268,36.29,96.3,27.9,28.1,28
2008-01-15 20:00:00,43.2,240,272,34.59,89.3,25.1,32.1,21
2008-01-15 21:00:00,38.6,263,273,34.13,136.27,24.5,30.8,29
2008-01-15 22:00:00,33.7,234,264,37.58,123.56,18.8,24.4,18
2008-01-15 23:00:00,30.1,244,260,38.96,118.73,21.2,23.8,11
2008-01-16 00:00:00,28.1,78,225,37.74,93.12,19.9,20.9,7
2008-01-16 01:00:00,26.4,21,191,39.14,103.27,20.6,20.9,6
2008-01-16 02:00:00,23.6,14,140,41.43,116.99,24.3,21,6
2008-01-16 03:00:00,20.4,13,103,42.32,101.05,24.8,20.4,4
2008-01-16 04:00:00,20.6,12,68,38.61,85.76,21.3,17.4,3
